movie_title,genres,plot_keywords,actor_1_name,actor_2_name,actor_3_name,director_name,combined_features
cheaper by the dozen 2,adventure comedy family,children competition rival second part vacation,taylor lautner,tom welling,alyson stoner,adam shankman,adventure comedy family children competition rival second part vacation taylor lautner tom welling alyson stoner adam shankman
the scorch trials,action sci-fi thriller,desert disease escape resistance virus,ki hong lee,lili taylor,rosa salazar,wes ball,action sci-fi thriller desert disease escape resistance virus ki hong lee lili taylor rosa salazar wes ball
eat pray love,drama romance,divorce emotional balance female protagonist indonesia inner peace,james franco,julia roberts,billy crudup,ryan murphy,drama romance divorce emotional balance female protagonist indonesia inner peace james franco julia roberts billy crudup ryan murphy
the family man,comedy drama fantasy romance,bowling christmas parallel universe salesman unfaithfulness,nicolas cage,don cheadle,amber valletta,brett ratner,comedy drama fantasy romance bowling christmas parallel universe salesman unfaithfulness nicolas cage don cheadle amber valletta brett ratner
red,action comedy crime thriller,cia female assassin interrogation office cubicle spy,bruce willis,morgan freeman,jaqueline fleming,robert schwentke,action comedy crime thriller cia female assassin interrogation office cubicle spy bruce willis morgan freeman jaqueline fleming robert schwentke
any given sunday,drama sport,breasts coach football in medias res vomiting,al pacino,dennis quaid,ll cool j,oliver stone,drama sport breasts coach football in medias res vomiting al pacino dennis quaid ll cool j oliver stone
the horse whisperer,drama romance western,grace groom horse montana western u.s.,scarlett johansson,kristin scott thomas,jessalyn gilsig,robert redford,drama romance western grace groom horse montana western u.s. scarlett johansson kristin scott thomas jessalyn gilsig robert redford
collateral,crime drama thriller,city by night contract killer driving at night los angeles california taxi,tom cruise,jada pinkett smith,debi mazar,michael mann,crime drama thriller city by night contract killer driving at night los angeles california taxi tom cruise jada pinkett smith debi mazar michael mann
the scorpion king,action adventure fantasy thriller,desert king showdown sorceress warrior,dwayne johnson,roger rees,bernard hill,chuck russell,action adventure fantasy thriller desert king showdown sorceress warrior dwayne johnson roger rees bernard hill chuck russell
ladder 49,action drama thriller,death of husband fire firefighter funeral main character dies,billy burke,jay hernandez,jacinda barrett,jay russell,action drama thriller death of husband fire firefighter funeral main character dies billy burke jay hernandez jacinda barrett jay russell
jack reacher,action crime mystery thriller,coma mysterious villain police chase shooting range sniper,tom cruise,robert duvall,david oyelowo,christopher mcquarrie,action crime mystery thriller coma mysterious villain police chase shooting range sniper tom cruise robert duvall david oyelowo christopher mcquarrie
deep blue sea,action sci-fi thriller,alzheimer's disease experiment human versus shark research underwater headquarters,ll cool j,michael rapaport,saffron burrows,renny harlin,action sci-fi thriller alzheimer's disease experiment human versus shark research underwater headquarters ll cool j michael rapaport saffron burrows renny harlin
this is it,documentary music,2000s box office hit comeback rehearsal year 2009,misha gabriel hamilton,mekia cox,judith hill,kenny ortega,documentary music 2000s box office hit comeback rehearsal year 2009 misha gabriel hamilton mekia cox judith hill kenny ortega
contagion,drama thriller,contagion cure infection panic virus,matt damon,monique gabriela curnen,griffin kane,steven soderbergh,drama thriller contagion cure infection panic virus matt damon monique gabriela curnen griffin kane steven soderbergh
kangaroo jack,action adventure comedy crime,australia body paint kangaroo mob money,estella warren,dyan cannon,bill hunter,david mcnally,action adventure comedy crime australia body paint kangaroo mob money estella warren dyan cannon bill hunter david mcnally
coraline,animation family fantasy,dream new home parallel worlds scissors secret door,jennifer saunders,dawn french,john hodgman,henry selick,animation family fantasy dream new home parallel worlds scissors secret door jennifer saunders dawn french john hodgman henry selick
the happening,sci-fi thriller,bee nature park school teacher,zooey deschanel,alan ruck,kristen connolly,m. night shyamalan,sci-fi thriller bee nature park school teacher zooey deschanel alan ruck kristen connolly m. night shyamalan
man on fire,action crime drama thriller,bodyguard journalist kidnapping mexico police corruption,denzel washington,radha mitchell,giancarlo giannini,tony scott,action crime drama thriller bodyguard journalist kidnapping mexico police corruption denzel washington radha mitchell giancarlo giannini tony scott
the shaggy dog,comedy family fantasy,animal as human dog movie elevator human becoming an animal sheepdog,robert downey jr.,joel david moore,kristin davis,brian robbins,comedy family fantasy animal as human dog movie elevator human becoming an animal sheepdog robert downey jr. joel david moore kristin davis brian robbins
starsky & hutch,comedy crime,cocaine cop criminal partner police,snoop dogg,carmen electra,fred williamson,todd phillips,comedy crime cocaine cop criminal partner police snoop dogg carmen electra fred williamson todd phillips
jingle all the way,comedy family,action figure christmas hero karate toy,jim belushi,harvey korman,jake lloyd,brian levant,comedy family action figure christmas hero karate toy jim belushi harvey korman jake lloyd brian levant
hellboy,action fantasy horror sci-fi,assassin demon hero nazi superhero,james babson,rupert evans,brian steele,guillermo del toro,action fantasy horror sci-fi assassin demon hero nazi superhero james babson rupert evans brian steele guillermo del toro
a civil action,drama,1980s law firm lawsuit lawyer toxic waste,robert duvall,kathleen quinlan,sydney pollack,steven zaillian,drama 1980s law firm lawsuit lawyer toxic waste robert duvall kathleen quinlan sydney pollack steven zaillian
paranorman,adventure animation comedy family fantasy,curse ghost outcast witch zombie,anna kendrick,kodi smit-mcphee,elaine stritch,chris butler,adventure animation comedy family fantasy curse ghost outcast witch zombie anna kendrick kodi smit-mcphee elaine stritch chris butler
the jackal,action adventure crime thriller,assassin fbi ira jackal russian,j.k. simmons,bruce willis,sophie okonedo,michael caton-jones,action adventure crime thriller assassin fbi ira jackal russian j.k. simmons bruce willis sophie okonedo michael caton-jones
paycheck,action mystery sci-fi thriller,anti hero babe scientist engineer memory money,ivana milicevic,joe morton,callum rennie,john woo,action mystery sci-fi thriller anti hero babe scientist engineer memory money ivana milicevic joe morton callum rennie john woo
up close & personal,drama romance,journalism news anchor newscast newscaster tv journalism,joe mantegna,stockard channing,raymond cruz,jon avnet,drama romance journalism news anchor newscast newscaster tv journalism joe mantegna stockard channing raymond cruz jon avnet
the tale of despereaux,adventure animation comedy family fantasy,book darkness dungeon princess rat,emma watson,matthew broderick,frank langella,sam fell,adventure animation comedy family fantasy book darkness dungeon princess rat emma watson matthew broderick frank langella sam fell
rules of engagement,comedy romance,fiance fiancee magazine editor naivety womanizer,bianca kajlich,oliver hudson,adhir kalyan,,comedy romance fiance fiancee magazine editor naivety womanizer bianca kajlich oliver hudson adhir kalyan 
the tuxedo,action comedy sci-fi,chauffeur hospital secret agent spying tuxedo,romany malco,debi mazar,ritchie coster,kevin donovan,action comedy sci-fi chauffeur hospital secret agent spying tuxedo romany malco debi mazar ritchie coster kevin donovan
under siege 2: dark territory,action thriller,colorado niece satellite terrorist train,peter greene,brenda bakke,patrick kilpatrick,geoff murphy,action thriller colorado niece satellite terrorist train peter greene brenda bakke patrick kilpatrick geoff murphy
jack ryan: shadow recruit,action drama thriller,covert analyst marine russian spy stock market,colm feore,nonso anozie,gemma chan,kenneth branagh,action drama thriller covert analyst marine russian spy stock market colm feore nonso anozie gemma chan kenneth branagh
